 1,  5, 7.75
 1, 24, 24.5
 5, 15, 24.25
 5, 23, 5.25
 5,  3, 16.5
 5,  8, 5.75
 5, 29, 13.0
 2,  7, 19.25
 2, 44, 7.5
 2,  3, 16.75
 7, 45, 10.0
 7, 13, 6.75
 7, 44, 21.5
 7, 11, 19.5
 3, 12, 5.75
 3,  6, 23.5
 3, 39, 13.25
 3, 10, 17.25
 3, 17, 12.25
12, 17, 12.5
12, 19, 15.25
12, 20, 9.25
12, 24, 12.75
12, 35, 5.0
 4, 18, 24.25
 4, 14, 18.5
 4, 43, 13.0
18, 15, 5.75
18, 32, 20.75
18, 39, 12.25
18, 17, 24.25
18, 35, 5.0
15, 29, 21.75
15, 31, 7.75
15, 41, 21.25
 6, 39, 12.25
45, 23, 22.75
45, 38, 18.0
45, 43, 15.0
45, 36, 9.25
45, 17, 18.5
 8, 29, 17.5
 8, 41, 14.0
29, 26, 19.75
 9, 34, 16.75
 9, 19, 12.75
 9, 17, 10.0
 9, 35, 23.5
34, 11, 13.5
34, 21, 21.25
34, 33, 21.25
34, 23, 19.5
10, 36, 19.0
10, 16, 6.0
10, 21, 15.75
36, 38, 22.75
36, 43, 21.5
11, 16, 22.75
11, 27, 8.5
13, 25, 19.75
25, 22, 21.25
25, 28, 21.75
25, 39, 6.25
14, 22, 17.0
14, 20, 20.5
22, 33, 5.75
16, 31, 20.5
20, 42, 21.0
20, 30, 22.5
21, 39, 10.25
23, 27, 16.5
24, 26, 23.75
24, 33, 24.75
28, 30, 10.0
26, 41, 9.75
26, 33, 21.25
27, 43, 5.5
30, 43, 21.75
30, 35, 16.0
30, 37, 20.5
43, 37, 6.5
31, 41, 14.75
33, 44, 24.5
38, 44, 12.0
40, 41, 16.5
